method,epoch,state_label,state,seed,policy,split,centre_ce
resolution_max_b1,12,before,r24_G-,3,recalibrated,test_probe,0.7193437805175781
resolution_max_b1,12,before,r24_G-,4,saved,train_probe,0.5140712890625
resolution_max_b1,12,before,r24_G-,4,saved,test_probe,0.6981687316894531
resolution_max_b1,12,before,r24_G-,4,recalibrated,train_probe,0.5033207092285156
resolution_max_b1,12,before,r24_G-,4,recalibrated,test_probe,0.6889906921386719
resolution_max_b1,12,after,r32_G-,0,saved,train_probe,2.9066181640625
resolution_max_b1,12,after,r32_G-,0,saved,test_probe,2.9722142333984376
resolution_max_b1,12,after,r32_G-,0,recalibrated,train_probe,1.1573116455078125
resolution_max_b1,12,after,r32_G-,0,recalibrated,test_probe,1.2090360717773438
resolution_max_b1,12,after,r32_G-,1,saved,train_probe,3.92296923828125
resolution_max_b1,12,after,r32_G-,1,saved,test_probe,3.934190673828125
resolution_max_b1,12,after,r32_G-,1,recalibrated,train_probe,0.9290115051269531
resolution_max_b1,12,after,r32_G-,1,recalibrated,test_probe,1.0039336547851563
resolution_max_b1,12,after,r32_G-,2,saved,train_probe,4.3196259765625
resolution_max_b1,12,after,r32_G-,2,saved,test_probe,4.249080078125
resolution_max_b1,12,after,r32_G-,2,recalibrated,train_probe,0.9998417663574218
resolution_max_b1,12,after,r32_G-,2,recalibrated,test_probe,1.0862196044921875
resolution_max_b1,12,after,r32_G-,3,saved,train_probe,3.7391563720703127
resolution_max_b1,12,after,r32_G-,3,saved,test_probe,3.7522493896484375
resolution_max_b1,12,after,r32_G-,3,recalibrated,train_probe,0.9738525390625
resolution_max_b1,12,after,r32_G-,3,recalibrated,test_probe,1.10557275390625
resolution_max_b1,12,after,r32_G-,4,saved,train_probe,2.93426513671875
resolution_max_b1,12,after,r32_G-,4,saved,test_probe,2.98906982421875
resolution_max_b1,12,after,r32_G-,4,recalibrated,train_probe,1.1205453491210937
resolution_max_b1,12,after,r32_G-,4,recalibrated,test_probe,1.2589154052734375
resolution_max_b1,12,final,r32_G-,0,saved,train_probe,2.9066181640625
resolution_max_b1,12,final,r32_G-,0,saved,test_probe,2.9722142333984376
resolution_max_b1,12,final,r32_G-,0,recalibrated,train_probe,1.1573116455078125
resolution_max_b1,12,final,r32_G-,0,recalibrated,test_probe,1.2090360717773438
resolution_max_b1,12,final,r32_G-,1,saved,train_probe,3.92296923828125
resolution_max_b1,12,final,r32_G-,1,saved,test_probe,3.934190673828125
resolution_max_b1,12,final,r32_G-,1,recalibrated,train_probe,0.9290115051269531
resolution_max_b1,12,final,r32_G-,1,recalibrated,test_probe,1.0039336547851563
resolution_max_b1,12,final,r32_G-,2,saved,train_probe,4.3196259765625
resolution_max_b1,12,final,r32_G-,2,saved,test_probe,4.249080078125
resolution_max_b1,12,final,r32_G-,2,recalibrated,train_probe,0.9998417663574218
resolution_max_b1,12,final,r32_G-,2,recalibrated,test_probe,1.0862196044921875
resolution_max_b1,12,final,r32_G-,3,saved,train_probe,3.7391563720703127
resolution_max_b1,12,final,r32_G-,3,saved,test_probe,3.7522493896484375
resolution_max_b1,12,final,r32_G-,3,recalibrated,train_probe,0.9738525390625
resolution_max_b1,12,final,r32_G-,3,recalibrated,test_probe,1.10557275390625
resolution_max_b1,12,final,r32_G-,4,saved,train_probe,2.93426513671875
resolution_max_b1,12,final,r32_G-,4,saved,test_probe,2.98906982421875
resolution_max_b1,12,final,r32_G-,4,recalibrated,train_probe,1.1205453491210937
resolution_max_b1,12,final,r32_G-,4,recalibrated,test_probe,1.2589154052734375
gaussian_postrelu,3,before,r-_G1,0,saved,train_probe,1.13690380859375
gaussian_postrelu,3,before,r-_G1,0,saved,test_probe,1.1731246337890624
gaussian_postrelu,3,before,r-_G1,0,recalibrated,train_probe,1.11490087890625
gaussian_postrelu,3,before,r-_G1,0,recalibrated,test_probe,1.1559302978515624
gaussian_postrelu,3,before,r-_G1,1,saved,train_probe,1.163728271484375
gaussian_postrelu,3,before,r-_G1,1,saved,test_probe,1.197280517578125
gaussian_postrelu,3,before,r-_G1,1,recalibrated,train_probe,1.0975481567382812
gaussian_postrelu,3,before,r-_G1,1,recalibrated,test_probe,1.1491889038085938
gaussian_postrelu,3,before,r-_G1,2,saved,train_probe,1.113965576171875
gaussian_postrelu,3,before,r-_G1,2,saved,test_probe,1.166549560546875
gaussian_postrelu,3,before,r-_G1,2,recalibrated,train_probe,1.0626693725585938
gaussian_postrelu,3,before,r-_G1,2,recalibrated,test_probe,1.1198358764648437
gaussian_postrelu,3,before,r-_G1,3,saved,train_probe,1.0921451416015624
gaussian_postrelu,3,before,r-_G1,3,saved,test_probe,1.1621241455078124
gaussian_postrelu,3,before,r-_G1,3,recalibrated,train_probe,1.063499755859375
gaussian_postrelu,3,before,r-_G1,3,recalibrated,test_probe,1.1186270751953125
gaussian_postrelu,3,before,r-_G1,4,saved,train_probe,1.1261680908203124
