method,seed,policy,split,direction,amplitude,centre_ce,dL_plus,dL_minus,S
plain,0,saved,train_probe,16,0.005,0.2235287322998047,0.0033509979248046995,0.00023041534423828836,0.001790706634521494
plain,0,saved,train_probe,16,0.01,0.2235287322998047,0.010456176757812491,0.00415453338623048,0.0073053550720214855
plain,0,saved,train_probe,16,0.02,0.2235287322998047,0.03567674255371095,0.024257499694824214,0.02996712112426758
plain,0,saved,train_probe,16,0.025,0.2235287322998047,0.053735794067382825,0.04012886047363279,0.046932327270507807
plain,0,saved,train_probe,16,0.05,0.2235287322998047,0.19066526794433591,0.1914859466552734,0.19107560729980466
plain,0,saved,train_probe,16,0.1,0.2235287322998047,0.7435635528564453,0.9671875762939453,0.8553755645751953
plain,0,saved,train_probe,16,0.2,0.2235287322998047,3.689569412231445,5.599356033325195,4.64446272277832
plain,0,saved,train_probe,16,0.25,0.2235287322998047,5.89838703918457,8.826892654418945,7.362639846801757
plain,0,saved,train_probe,16,0.35,0.2235287322998047,10.348848709106445,14.196981521606446,12.272915115356446
plain,0,saved,train_probe,16,0.5,0.2235287322998047,23.604542556762695,19.604892166137695,21.604717361450195
plain,0,saved,train_probe,17,0.005,0.2235287322998047,0.0030004653930663927,0.0004532546997070286,0.0017268600463867106
plain,0,saved,train_probe,17,0.01,0.2235287322998047,0.009702751159667955,0.004267211914062485,0.00698498153686522
