A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.34,0.98573193359375,0.655,1.0748274536132814,0.643
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.36,1.0360330810546876,0.631,1.1160318908691407,0.63
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.38,1.08054296875,0.613,1.1537785034179688,0.61
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.4,1.119118896484375,0.6,1.1868482055664062,0.598
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.42,1.1504244384765625,0.594,1.2143865966796874,0.603
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.44,1.173281982421875,0.591,1.2333277587890625,0.597
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.46,1.1873480224609374,0.585,1.2452676391601563,0.596
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.48,1.1929297485351562,0.586,1.250851806640625,0.594
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.5,1.1894742431640626,0.592,1.2506031494140626,0.604
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.52,1.1759979248046875,0.59,1.2451513671875,0.606
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.54,1.1540768432617188,0.598,1.2313676147460937,0.611
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.56,1.1262490234375,0.606,1.210719970703125,0.619
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.58,1.0928611450195314,0.621,1.1847756958007813,0.622
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.6,1.0540313110351562,0.635,1.1537166137695312,0.63
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.62,1.0101514587402343,0.659,1.1183448486328125,0.636
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.64,0.9611021118164063,0.671,1.0796611938476564,0.657
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.66,0.9103717956542968,0.683,1.0371882934570313,0.67
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.68,0.8585995483398438,0.697,0.9927479858398438,0.681
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.7000000000000001,0.8057848205566406,0.712,0.948160400390625,0.699
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.72,0.7520025634765625,0.728,0.9036226196289062,0.708
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.74,0.6999535522460938,0.746,0.8595836791992187,0.718
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.76,0.6504469604492188,0.763,0.817105224609375,0.733
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.78,0.6036854858398437,0.782,0.7765949096679687,0.746
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.8,0.5588334350585937,0.801,0.7384072570800781,0.754
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.8200000000000001,0.5173177337646484,0.827,0.7033395385742187,0.765
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.84,0.4783143920898438,0.849,0.6721891784667968,0.775
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.86,0.44222149658203125,0.869,0.6446362915039062,0.783
