cell,radius,energy_fraction
plain__lr_high__seed0,2,0.0036543418739909475
plain__lr_high__seed0,3,0.006773019040325559
plain__lr_high__seed0,4,0.017663108164132885
plain__lr_high__seed0,5,0.019918054153555388
plain__lr_high__seed0,6,0.032360870972249926
plain__lr_high__seed0,7,0.03686794930310431
plain__lr_high__seed0,8,0.04850991725343271
plain__lr_high__seed0,9,0.0718048496947356
plain__lr_high__seed0,10,0.06288211230958889
plain__lr_high__seed0,11,0.08391482555935154
plain__lr_high__seed0,12,0.08301722110076268
plain__lr_high__seed0,13,0.11000066870793458
plain__lr_high__seed0,14,0.11335425439908818
plain__lr_high__seed0,15,0.11127969114709955
plain__lr_high__seed0,16,0.10578934238242346
plain__lr_high__seed0,17,0.05057814342534802
plain__lr_high__seed0,18,0.021393761896183496
plain__lr_high__seed0,19,0.011031888362905815
plain__lr_high__seed0,20,0.003501670071914176
plain__lr_high__seed0,21,0.0030999512546299075
plain__lr_high__seed0,22,0.0004865750728059952
plain__lr_high__seed0,23,0.00013438615550404677
plain__reference__seed2,0,0.0002690153558908021
plain__reference__seed2,1,0.0020738916505270094
plain__reference__seed2,2,0.004371826975423635
plain__reference__seed2,3,0.008397108624685345
plain__reference__seed2,4,0.02364870681420147
plain__reference__seed2,5,0.026906880882535813
plain__reference__seed2,6,0.044082671313241915
plain__reference__seed2,7,0.0482982113258908
plain__reference__seed2,8,0.060238111643514496
plain__reference__seed2,9,0.08311604764807125
plain__reference__seed2,10,0.06783949326992697
plain__reference__seed2,11,0.0853751003733348
plain__reference__seed2,12,0.07949073708594007
plain__reference__seed2,13,0.09766626496590343
plain__reference__seed2,14,0.09466859420083762
plain__reference__seed2,15,0.09113537452168044
plain__reference__seed2,16,0.08475023266715483
plain__reference__seed2,17,0.041911513274622406
plain__reference__seed2,18,0.023140269127484493
plain__reference__seed2,19,0.01490030403949536
plain__reference__seed2,20,0.006757508117244514
plain__reference__seed2,21,0.008306164955927675
plain__reference__seed2,22,0.0019488456840697527
plain__reference__seed2,23,0.0007071254823951099
resolution_max_b1__lr_low__seed0,0,0.0007732125456470499
resolution_max_b1__lr_low__seed0,1,0.004224804674154009
resolution_max_b1__lr_low__seed0,2,0.006397708998456196
resolution_max_b1__lr_low__seed0,3,0.009090943595441884
resolution_max_b1__lr_low__seed0,4,0.019346956447978035
resolution_max_b1__lr_low__seed0,5,0.01859055646790009
resolution_max_b1__lr_low__seed0,6,0.028346070646294533
resolution_max_b1__lr_low__seed0,7,0.030263481774215013
resolution_max_b1__lr_low__seed0,8,0.03955758887370841
resolution_max_b1__lr_low__seed0,9,0.05809611752672785
resolution_max_b1__lr_low__seed0,10,0.053050288960805235
resolution_max_b1__lr_low__seed0,11,0.07450404808261935
resolution_max_b1__lr_low__seed0,12,0.07721913446893552
resolution_max_b1__lr_low__seed0,13,0.10594079341099005
resolution_max_b1__lr_low__seed0,14,0.11302845322898922
resolution_max_b1__lr_low__seed0,15,0.11214978043883676
resolution_max_b1__lr_low__seed0,16,0.11391389511249153
resolution_max_b1__lr_low__seed0,17,0.06206053554429621
resolution_max_b1__lr_low__seed0,18,0.03411809314611759
resolution_max_b1__lr_low__seed0,19,0.02003652037705906
resolution_max_b1__lr_low__seed0,20,0.007840521962906872
resolution_max_b1__lr_low__seed0,21,0.00870808832790321
resolution_max_b1__lr_low__seed0,22,0.0019964289251835346
resolution_max_b1__lr_low__seed0,23,0.0007459764623428078
resolution_max_b1__wd_high__seed0,0,0.00033588924670245607
resolution_max_b1__wd_high__seed0,1,0.002536264999478724
resolution_max_b1__wd_high__seed0,2,0.004644692100271922
resolution_max_b1__wd_high__seed0,3,0.007655594497778814
resolution_max_b1__wd_high__seed0,4,0.0182685388588119
resolution_max_b1__wd_high__seed0,5,0.018174552189989472
resolution_max_b1__wd_high__seed0,6,0.028882212953460207
resolution_max_b1__wd_high__seed0,7,0.031100508508137337
resolution_max_b1__wd_high__seed0,8,0.040104534171416406
resolution_max_b1__wd_high__seed0,9,0.05828115264029908
resolution_max_b1__wd_high__seed0,10,0.0505940892711644
resolution_max_b1__wd_high__seed0,11,0.07135186302186307
