method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
plain,0,saved,train_probe,0.2,20,3.292234831237793,1.0686546351540183,1.8720573272705079,5.7778236846923825
plain,0,saved,train_probe,0.25,20,5.297419009399414,1.765119374567092,3.1388974761962887,9.665325881958008
plain,1,recalibrated,test_probe,0.025,20,0.006521459960937548,0.0020419605595677686,0.0031071777343750773,0.010941406250000063
plain,1,recalibrated,test_probe,0.05,20,0.02698312377929691,0.006861794440553016,0.015123260498046909,0.03865502929687503
plain,1,recalibrated,test_probe,0.1,20,0.11143043518066409,0.024980834651940707,0.06158029174804691,0.1453426666259766
plain,1,recalibrated,test_probe,0.2,20,0.497115071105957,0.0969741805508728,0.33864472961425796,0.652623260498047
plain,1,recalibrated,test_probe,0.25,20,0.7965117141723632,0.14204627615806178,0.5612108154296874,0.989721649169922
plain,1,recalibrated,train_probe,0.025,20,0.015537424659728993,0.00308623839452506,0.010221473693847627,0.022348388671874997
plain,1,recalibrated,train_probe,0.05,20,0.05793953323364257,0.010540186934801108,0.03888762283325195,0.07493120956420896
plain,1,recalibrated,train_probe,0.1,20,0.21060129203796385,0.03699454975978644,0.14545795440673825,0.2644747085571289
plain,1,recalibrated,train_probe,0.2,20,0.7504387809753417,0.11107919024382662,0.5685141220092773,0.8941787185668946
plain,1,recalibrated,train_probe,0.25,20,1.1110167343139647,0.15357093807322297,0.8586384963989258,1.3174185256958006
plain,1,saved,test_probe,0.025,20,0.03717336959838868,0.014225164038930274,0.018487426757812453,0.07276681518554684
plain,1,saved,test_probe,0.05,20,0.15460988998413083,0.054775510744342,0.08493562316894532,0.28955084228515615
plain,1,saved,test_probe,0.1,20,0.7120375671386718,0.2297831722696423,0.3958604736328125,1.1942420654296875
plain,1,saved,test_probe,0.2,20,3.4327272186279294,0.9112733656441212,1.9336307067871092,4.988776153564453
plain,1,saved,test_probe,0.25,20,5.4326855773925775,1.3479514363366114,3.284626495361328,7.277580841064454
plain,1,saved,train_probe,0.025,20,0.04530290336608887,0.011983528263324298,0.027982452392578128,0.07949404525756837
plain,1,saved,train_probe,0.05,20,0.18505035972595216,0.05154277194264094,0.1063791885375977,0.32911351013183593
plain,1,saved,train_probe,0.1,20,0.8195357368469237,0.22676146522913973,0.4621956481933594,1.344158477783203
plain,1,saved,train_probe,0.2,20,3.7645762863159185,0.9265283509320069,2.35481655883789,5.266847045898438
plain,1,saved,train_probe,0.25,20,5.8613732727050785,1.3545732542148254,3.83550146484375,7.7861435546874995
plain,2,recalibrated,test_probe,0.025,20,0.006867514038085993,0.002587611105375641,0.0019022064208984446,0.011966491699218818
