method,seed,policy,split,direction,direction_seed,amplitude,L_center,dL_plus,dL_minus,S,acc_center,acc_plus,acc_minus
plain,0,saved,train_probe,16,1370112033,0.1,0.2235287322998047,0.7435635528564453,0.9671875762939453,0.8553755645751953,0.941,0.713,0.65
plain,0,saved,test_probe,16,1370112033,0.1,0.7621461791992188,0.5731024780273437,0.8115273437499999,0.6923149108886719,0.739,0.648,0.57
plain,0,saved,train_probe,16,1370112033,0.2,0.2235287322998047,3.689569412231445,5.599356033325195,4.64446272277832,0.941,0.411,0.209
plain,0,saved,test_probe,16,1370112033,0.2,0.7621461791992188,3.2410269165039063,5.287231262207031,4.264129089355469,0.739,0.404,0.191
plain,0,saved,train_probe,16,1370112033,0.25,0.2235287322998047,5.89838703918457,8.826892654418945,7.362639846801757,0.941,0.318,0.125
plain,0,saved,test_probe,16,1370112033,0.25,0.7621461791992188,5.288790588378906,8.411235656738281,6.850013122558593,0.739,0.31,0.126
plain,0,saved,train_probe,17,589989303,0.025,0.2235287322998047,0.04923443603515626,0.03572119140625002,0.04247781372070314,0.941,0.917,0.928
plain,0,saved,test_probe,17,589989303,0.025,0.7621461791992188,0.05090808105468747,0.031025756835937446,0.04096691894531246,0.739,0.727,0.741
plain,0,saved,train_probe,17,589989303,0.05,0.2235287322998047,0.1932317047119141,0.1536877136230469,0.1734597091674805,0.941,0.856,0.867
plain,0,saved,test_probe,17,589989303,0.05,0.7621461791992188,0.18799768066406242,0.1287305297851562,0.1583641052246093,0.739,0.69,0.733
plain,0,saved,train_probe,17,589989303,0.1,0.2235287322998047,0.8204204864501952,0.7086476593017579,0.7645340728759764,0.941,0.679,0.676
plain,0,saved,test_probe,17,589989303,0.1,0.7621461791992188,0.77801708984375,0.5496400756835937,0.6638285827636718,0.739,0.601,0.638
plain,0,saved,train_probe,17,589989303,0.2,0.2235287322998047,3.309515579223633,3.2937147979736325,3.3016151885986327,0.941,0.387,0.333
plain,0,saved,test_probe,17,589989303,0.2,0.7621461791992188,2.994796569824219,2.879794128417969,2.9372953491210936,0.739,0.375,0.325
plain,0,saved,train_probe,17,589989303,0.25,0.2235287322998047,5.110797683715821,5.372372146606446,5.241584915161133,0.941,0.288,0.234
plain,0,saved,test_probe,17,589989303,0.25,0.7621461791992188,4.621135314941406,4.923109436035157,4.772122375488282,0.739,0.313,0.232
plain,0,saved,train_probe,18,1777278517,0.025,0.2235287322998047,0.0457903289794922,0.03734169006347654,0.04156600952148437,0.941,0.913,0.923
plain,0,saved,test_probe,18,1777278517,0.025,0.7621461791992188,0.029753723144531175,0.04042391967773429,0.035088821411132676,0.739,0.725,0.731
