method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
resolution_max_b1,1,train_probe,saved,0.05,75.08126510316465,89.02255371093749,1.1856826545026504
resolution_max_b1,1,train_probe,saved,0.1,75.08126510316465,100.02223464965819,1.332186325206743
resolution_max_b1,1,train_probe,saved,0.2,75.08126510316465,128.50212265014648,1.7115071579252086
resolution_max_b1,1,train_probe,saved,0.25,75.08126510316465,136.25879726562502,1.814817545740605
resolution_max_b1,1,train_probe,saved,0.35,75.08126510316465,141.01062963368943,1.878106734615289
resolution_max_b1,1,train_probe,saved,0.5,75.08126510316465,154.2707211669922,2.054716592148761
resolution_max_b1,1,train_probe,centre_frozen,0.005,73.73253213654984,85.67019653320406,1.1619049834684387
resolution_max_b1,1,train_probe,centre_frozen,0.01,73.73253213654984,86.58155059814493,1.174265254281505
resolution_max_b1,1,train_probe,centre_frozen,0.02,73.73253213654984,87.00780868530288,1.1800463942316226
resolution_max_b1,1,train_probe,centre_frozen,0.025,73.73253213654984,87.03796020507818,1.1804553252543557
resolution_max_b1,1,train_probe,centre_frozen,0.05,73.73253213654984,88.36778350830079,1.1984910994870897
resolution_max_b1,1,train_probe,centre_frozen,0.1,73.73253213654984,99.10261352539064,1.3440826003622983
resolution_max_b1,1,train_probe,centre_frozen,0.2,73.73253213654984,126.93888900756835,1.7216130428354526
resolution_max_b1,1,train_probe,centre_frozen,0.25,73.73253213654984,134.5027205078125,1.824197767394162
resolution_max_b1,1,train_probe,centre_frozen,0.35,73.73253213654984,139.14242516342478,1.887123921171435
resolution_max_b1,1,train_probe,centre_frozen,0.5,73.73253213654984,151.747319921875,2.058078239342774
resolution_max_b1,1,test_probe,saved,0.005,90.84559485117417,77.3688354492199,0.8516520319556246
resolution_max_b1,1,test_probe,saved,0.01,90.84559485117417,79.77011108398423,0.8780845258888546
resolution_max_b1,1,test_probe,saved,0.02,90.84559485117417,80.36553573608413,0.8846387749206908
resolution_max_b1,1,test_probe,saved,0.025,90.84559485117417,80.45039062500004,0.8855728310965012
resolution_max_b1,1,test_probe,saved,0.05,90.84559485117417,82.24973083496096,0.9053794074407768
resolution_max_b1,1,test_probe,saved,0.1,90.84559485117417,91.85789398193359,1.0111430733919218
resolution_max_b1,1,test_probe,saved,0.2,90.84559485117417,122.06986206054687,1.343707003741075
resolution_max_b1,1,test_probe,saved,0.25,90.84559485117417,130.86435224609377,1.440514011279022
resolution_max_b1,1,test_probe,saved,0.35,90.84559485117417,137.10338279257016,1.509191315409149
resolution_max_b1,1,test_probe,saved,0.5,90.84559485117417,151.23088037109375,1.6647024065266396
resolution_max_b1,1,test_probe,centre_frozen,0.005,89.97356341917514,84.66882324219017,0.9410411239102439
resolution_max_b1,1,test_probe,centre_frozen,0.01,89.97356341917514,82.2504577636729,0.9141625010502108
resolution_max_b1,1,test_probe,centre_frozen,0.02,89.97356341917514,80.59088134765638,0.8957173450182687
resolution_max_b1,1,test_probe,centre_frozen,0.025,89.97356341917514,80.2256591796876,0.891658128576354
resolution_max_b1,1,test_probe,centre_frozen,0.05,89.97356341917514,81.34210205078126,0.9040666942557225
resolution_max_b1,1,test_probe,centre_frozen,0.1,89.97356341917514,90.63398376464843,1.0073401599356078
resolution_max_b1,1,test_probe,centre_frozen,0.2,89.97356341917514,120.36637130737302,1.3377970898696292
resolution_max_b1,1,test_probe,centre_frozen,0.25,89.97356341917514,129.05212880859375,1.4343338632411018
resolution_max_b1,1,test_probe,centre_frozen,0.35,89.97356341917514,135.25436951929208,1.5032678975840887
resolution_max_b1,1,test_probe,centre_frozen,0.5,89.97356341917514,148.77974384765625,1.653593991320659
resolution_max_b1,2,train_probe,saved,0.005,70.74261779755514,74.18405151367091,1.0486472486212506
resolution_max_b1,2,train_probe,saved,0.01,70.74261779755514,77.19900512695281,1.0912658808849
resolution_max_b1,2,train_probe,saved,0.02,70.74261779755514,78.7612495422363,1.113349378271923
resolution_max_b1,2,train_probe,saved,0.025,70.74261779755514,79.14517089843746,1.1187763948024652
