method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
gaussian_postrelu,3,1173,False,after,G=0.85,2,train_probe,1.1384300537109375,0.594,1.0749354858398437,0.618,0.009215625000000106,0.03662620849609379,0.1415381561279298,0.43802577514648444,0.5955223663330079,0.3049889984130859,2.259865463256836
gaussian_postrelu,3,1173,False,after,G=0.85,2,test_probe,1.1935607299804687,0.554,1.1240944213867188,0.592,0.008595343017578073,0.03399300842285154,0.1317658264160157,0.4090134521484375,0.5629090484619139,0.2951644317626953,2.1868335418701172
gaussian_postrelu,3,1173,False,after,G=0.85,3,train_probe,1.1819275512695313,0.569,1.0639041137695313,0.612,0.005607412719726557,0.025286666870117158,0.11270379943847653,0.4124878662109374,0.5925421325683593,0.33829223937988273,2.7341925292968745
gaussian_postrelu,3,1173,False,after,G=0.85,3,test_probe,1.223607421875,0.562,1.1126860961914062,0.613,0.006850357055664014,0.027922714233398493,0.11521924438476565,0.4013049133300782,0.5697506164550783,0.32893723449707035,2.6832624877929687
gaussian_postrelu,3,1173,False,after,G=0.85,4,train_probe,1.2161080322265625,0.549,1.0677860107421875,0.618,0.0066384704589843805,0.027839999389648474,0.11064972534179689,0.4042244812011718,0.5737765655517577,0.3972544494628906,2.136110638427734
gaussian_postrelu,3,1173,False,after,G=0.85,4,test_probe,1.2320928344726563,0.537,1.1012086791992188,0.595,0.0074165985107421005,0.02711713867187491,0.1048563964843749,0.3938415954589843,0.5646604339599609,0.40147046508789064,2.137181903076172
gaussian_postrelu,3,1173,False,final,G=0,0,train_probe,4.967013427734375,0.107,1.9362769165039062,0.253,0.0026333953857422764,0.010465255737304724,0.038370217895507874,0.12888658142089846,0.1848656158447266,0.42337850341796895,3.213364843750001
gaussian_postrelu,3,1173,False,final,G=0,0,test_probe,4.86751806640625,0.117,1.9167481079101563,0.271,0.002880831909179693,0.011333605957031256,0.04219572143554682,0.13928198242187495,0.1973616088867188,0.3998265991210939,3.151924096679688
gaussian_postrelu,3,1173,False,final,G=0,1,train_probe,3.550977783203125,0.202,1.8868575439453126,0.292,0.005377206420898362,0.020438262939453077,0.07001506042480463,0.20453540344238275,0.2758583587646484,0.2762549804687501,2.4435780639648437
gaussian_postrelu,3,1173,False,final,G=0,1,test_probe,3.5573143310546875,0.172,1.8730616455078124,0.288,0.007512466430664144,0.0257382354736329,0.08181902770996108,0.21924437561035162,0.2890237274169923,0.28223711547851543,2.4445509033203123
gaussian_postrelu,3,1173,False,final,G=0,2,train_probe,5.019407958984375,0.125,1.8758370971679688,0.281,0.0029692657470703487,0.011535296630859348,0.041967739868164135,0.13641626281738278,0.19404438781738292,0.6833007324218754,4.951532055664062
gaussian_postrelu,3,1173,False,final,G=0,2,test_probe,4.858581787109375,0.13,1.8668072509765625,0.267,0.0032665802001953016,0.011696215820312439,0.04312118835449217,0.142145703125,0.20095111389160142,0.7172774536132814,4.9609861572265626
gaussian_postrelu,3,1173,False,final,G=0,3,train_probe,7.82861083984375,0.148,1.8140513305664063,0.352,0.0031506744384765194,0.012491519165038944,0.050475338745117095,0.17547083129882804,0.24644870300292965,0.7069282470703119,5.182020886230469
