method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max,n_negative_S,C_mean,C_direction_sd
plain,1,recalibrated,train_probe,0.35,20,1.9104695053100584,0.24677107837535675,1.5149040298461913,2.29352433013916,0,31.191338862205043,4.028915565311947
plain,1,recalibrated,train_probe,0.5,20,2.9701227462768554,0.32365176641505516,2.4783472061157226,3.5160392837524412,0,23.760981970214843,2.5892141313204413
plain,1,recalibrated,test_probe,0.005,20,0.00015161514282230337,0.00011724956827055286,-0.00010058593749995293,0.00042184448242188477,1,12.12921142578427,9.379965461644229
plain,1,recalibrated,test_probe,0.01,20,0.0008530570983887098,0.00033211805027187353,0.00023907470703121714,0.0014468841552733869,0,17.061141967774198,6.642361005437471
plain,1,recalibrated,test_probe,0.02,20,0.004010863494873079,0.00125108464284494,0.0018332214355468723,0.006757797241211061,0,20.054317474365398,6.255423214224699
plain,1,recalibrated,test_probe,0.025,20,0.006521459960937548,0.0020419605595677686,0.0031071777343750773,0.010941406250000063,0,20.86867187500015,6.534273790616858
plain,1,recalibrated,test_probe,0.05,20,0.02698312377929691,0.006861794440553016,0.015123260498046909,0.03865502929687503,0,21.586499023437522,5.489435552442412
plain,1,recalibrated,test_probe,0.1,20,0.11143043518066409,0.024980834651940707,0.06158029174804691,0.1453426666259766,0,22.286087036132816,4.996166930388141
plain,1,recalibrated,test_probe,0.2,20,0.497115071105957,0.0969741805508728,0.33864472961425796,0.652623260498047,0,24.855753555297852,4.848709027543639
plain,1,recalibrated,test_probe,0.25,20,0.7965117141723632,0.14204627615806178,0.5612108154296874,0.989721649169922,0,25.488374853515623,4.545480837057977
plain,1,recalibrated,test_probe,0.35,20,1.5004411407470701,0.23868817308770635,1.0752573852539062,1.8845361938476564,0,24.496998216278705,3.896949764697247
plain,1,recalibrated,test_probe,0.5,20,2.4989121002197265,0.3270929725703593,1.9355955200195312,3.0056214599609374,0,19.991296801757812,2.6167437805628744
plain,1,centre_frozen,train_probe,0.005,20,0.0018858129501342705,0.0005093616051603296,0.0012233810424804592,0.0033383560180663963,0,150.86503601074162,40.748928412826366
plain,1,centre_frozen,train_probe,0.01,20,0.007360011863708489,0.0018527551432508042,0.004834693908691401,0.012694179534912087,0,147.20023727416978,37.05510286501608
plain,1,centre_frozen,train_probe,0.02,20,0.029039551734924306,0.007428747688043356,0.01822719192504882,0.0499989356994629,0,145.19775867462155,37.14373844021678
plain,1,centre_frozen,train_probe,0.025,20,0.045279743766784654,0.011729657115979689,0.027943923950195293,0.07850765991210934,0,144.89518005371085,37.534902771134995
plain,1,centre_frozen,train_probe,0.05,20,0.18506541366577148,0.050446627387636854,0.10520547485351561,0.32561940765380865,0,148.05233093261717,40.35730191010948
plain,1,centre_frozen,train_probe,0.1,20,0.8191649467468262,0.22281799949782874,0.46115796661376957,1.3372172012329102,0,163.8329893493652,44.56359989956574
plain,1,centre_frozen,train_probe,0.2,20,3.755091673278809,0.9142049210933768,2.3429543838500977,5.147302284240722,0,187.7545836639404,45.71024605466883
plain,1,centre_frozen,train_probe,0.25,20,5.844732109069825,1.3383105515518539,3.8339442520141604,7.765436683654785,0,187.0314274902344,42.82593764965932
plain,1,centre_frozen,train_probe,0.35,20,10.752861964416505,2.3173274684659098,6.327615516662598,15.950916908264162,0,175.5569300312899,37.83391785250465
plain,1,centre_frozen,train_probe,0.5,20,21.85584492340088,5.160530903927482,10.267215980529787,32.962415687561034,0,174.84675938720704,41.284247231419855
plain,1,centre_frozen,test_probe,0.005,20,0.0013751670837402808,0.0005632504008384572,0.000666015625000016,0.0026735687255859952,0,110.01336669922246,45.06003206707657
plain,1,centre_frozen,test_probe,0.01,20,0.005564568328857466,0.0022080559081694667,0.0027264556884766256,0.011216339111328133,0,111.29136657714932,44.16111816338933
plain,1,centre_frozen,test_probe,0.02,20,0.023347747802734416,0.008824881400577729,0.011424423217773483,0.04550514221191404,0,116.73873901367206,44.12440700288864
plain,1,centre_frozen,test_probe,0.025,20,0.03681438827514651,0.013698725614655956,0.018510528564453232,0.07090853881835935,0,117.80604248046879,43.83592196689906
plain,1,centre_frozen,test_probe,0.05,20,0.1543806289672852,0.053133983977322316,0.08612322998046873,0.2849013366699219,0,123.50450317382813,42.507187181857844
