method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,7,0.01,0.2235287322998047,0.0032231521606445324,0.005898208618164064,0.004560680389404298,91.21360778808595
plain,0,saved,train_probe,8,0.01,0.2235287322998047,0.005986686706542954,0.006686523437500008,0.006336605072021495,126.7321014404299
plain,0,saved,train_probe,9,0.01,0.2235287322998047,0.009909408569335948,0.0008749313354492194,0.005392169952392584,107.84339904785166
plain,0,saved,train_probe,10,0.01,0.2235287322998047,0.00408177947998048,0.005321266174316414,0.004701522827148447,94.03045654296892
plain,0,saved,train_probe,11,0.01,0.2235287322998047,0.004975158691406245,0.0068910827636718686,0.005933120727539043,118.66241455078085
plain,0,saved,train_probe,12,0.01,0.2235287322998047,0.005529388427734372,0.006092208862304688,0.005810798645019544,116.21597290039087
plain,0,saved,train_probe,13,0.01,0.2235287322998047,0.003740829467773432,0.006519966125488275,0.005130397796630853,102.60795593261706
plain,0,saved,train_probe,14,0.01,0.2235287322998047,0.006072067260742192,0.007844696044921884,0.006958381652832024,139.16763305664048
plain,0,saved,train_probe,15,0.01,0.2235287322998047,0.006972900390625009,0.004765029907226548,0.005868965148925764,117.37930297851528
plain,0,saved,train_probe,16,0.01,0.2235287322998047,0.010456176757812491,0.00415453338623048,0.0073053550720214855,146.10710144042972
plain,0,saved,train_probe,17,0.01,0.2235287322998047,0.009702751159667955,0.004267211914062485,0.00698498153686522,139.6996307373044
plain,0,saved,train_probe,18,0.01,0.2235287322998047,0.008301406860351551,0.004457138061523425,0.006379272460937502,127.58544921875003
plain,0,saved,train_probe,19,0.01,0.2235287322998047,0.002980949401855476,0.007980125427246104,0.00548053741455079,109.6107482910158
plain,0,saved,train_probe,0,0.02,0.2235287322998047,0.0167283935546875,0.02884651184082032,0.022787452697753896,113.93726348876947
plain,0,saved,train_probe,1,0.02,0.2235287322998047,0.027081237792968726,0.03211769866943359,0.02959946823120113,147.99734115600566
plain,0,saved,train_probe,2,0.02,0.2235287322998047,0.013773864746093739,0.016948600769042976,0.015361232757568344,76.80616378784171
plain,0,saved,train_probe,3,0.02,0.2235287322998047,0.02435193634033203,0.023538208007812506,0.02394507217407227,119.72536087036134
plain,0,saved,train_probe,4,0.02,0.2235287322998047,0.016353843688964836,0.014675865173339853,0.015514854431152358,77.57427215576179
plain,0,saved,train_probe,5,0.02,0.2235287322998047,0.017675598144531235,0.024134391784667975,0.020904994964599605,104.52497482299802
plain,0,saved,train_probe,6,0.02,0.2235287322998047,0.03311559295654298,0.02481915283203126,0.028967372894287136,144.83686447143566
plain,0,saved,train_probe,7,0.02,0.2235287322998047,0.015850334167480468,0.020040733337402333,0.0179455337524414,89.727668762207
plain,0,saved,train_probe,8,0.02,0.2235287322998047,0.024257446289062512,0.025766372680664062,0.025011909484863287,125.05954742431643
plain,0,saved,train_probe,9,0.02,0.2235287322998047,0.0313075408935547,0.012304092407226574,0.021805816650390636,109.02908325195317
plain,0,saved,train_probe,10,0.02,0.2235287322998047,0.017940177917480454,0.02103551483154298,0.01948784637451173,97.43923187255865
plain,0,saved,train_probe,11,0.02,0.2235287322998047,0.022204704284667975,0.025015754699707043,0.023610229492187496,118.05114746093747
plain,0,saved,train_probe,12,0.02,0.2235287322998047,0.022800445556640625,0.024259269714355464,0.02352985763549803,117.64928817749015
plain,0,saved,train_probe,13,0.02,0.2235287322998047,0.017896583557128892,0.023587722778320303,0.020742153167724597,103.71076583862298
plain,0,saved,train_probe,14,0.02,0.2235287322998047,0.02725540161132811,0.027690559387207048,0.027472980499267552,137.36490249633775
plain,0,saved,train_probe,15,0.02,0.2235287322998047,0.025601783752441404,0.022464210510253907,0.024032997131347655,120.16498565673827
plain,0,saved,train_probe,16,0.02,0.2235287322998047,0.03567674255371095,0.024257499694824214,0.02996712112426758,149.8356056213379
plain,0,saved,train_probe,17,0.02,0.2235287322998047,0.032347702026367164,0.021915016174316404,0.027131359100341756,135.65679550170879
plain,0,saved,train_probe,18,0.02,0.2235287322998047,0.030139083862304683,0.022782302856445308,0.02646069335937501,132.30346679687503
plain,0,saved,train_probe,19,0.02,0.2235287322998047,0.017054367065429676,0.027390869140624996,0.022222618103027336,111.11309051513668
