seed,pc1,pc2,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
0,-7.892802220073419,4.8420437388345405,1.1510478515625,0.603,1.1901334838867188,0.583
0,-7.892802220073419,5.509500616826973,1.2626643676757812,0.565,1.2952584838867187,0.552
0,-7.892802220073419,6.176957494819401,1.3953251953125,0.526,1.418191162109375,0.51
0,-7.892802220073419,6.844414372811833,1.5508275756835936,0.482,1.557828369140625,0.461
0,-7.892802220073419,7.5118712508042655,1.7208236083984374,0.437,1.7139789428710936,0.414
0,-7.892802220073419,8.179328128796694,1.8999169921875,0.398,1.8810697631835938,0.372
0,-7.892802220073419,8.846785006789126,2.0817054443359373,0.357,2.04897216796875,0.333
0,-7.212319461750508,-11.176921332983799,2.687931640625,0.293,2.688132080078125,0.275
0,-7.212319461750508,-10.509464454991368,2.632719970703125,0.288,2.6218441162109376,0.279
0,-7.212319461750508,-9.842007576998938,2.578263916015625,0.278,2.5554141845703127,0.286
0,-7.212319461750508,-9.174550699006506,2.5159405517578124,0.281,2.4871444091796877,0.292
0,-7.212319461750508,-8.507093821014076,2.4466849365234373,0.284,2.4116689453125,0.309
0,-7.212319461750508,-7.839636943021645,2.37124267578125,0.277,2.3290699462890627,0.316
0,-7.212319461750508,-7.172180065029214,2.29472705078125,0.289,2.2437657470703125,0.325
0,-7.212319461750508,-6.504723187036783,2.2089654541015626,0.301,2.156447021484375,0.336
0,-7.212319461750508,-5.837266309044352,2.116013671875,0.314,2.0624008178710938,0.344
0,-7.212319461750508,-5.169809431051922,2.014506103515625,0.341,1.9668565673828124,0.365
0,-7.212319461750508,-4.502352553059491,1.9041511840820313,0.356,1.8660543212890626,0.387
0,-7.212319461750508,-3.8348956750670595,1.7944669799804687,0.384,1.7586852416992187,0.403
0,-7.212319461750508,-3.167438797074629,1.6807254638671876,0.416,1.6460590209960937,0.439
0,-7.212319461750508,-2.499981919082199,1.5681436767578125,0.451,1.5369015502929688,0.467
0,-7.212319461750508,-1.8325250410897667,1.4572987670898438,0.492,1.4280757446289063,0.501
0,-7.212319461750508,-1.1650681630973363,1.3500611572265624,0.536,1.3240479736328126,0.522
0,-7.212319461750508,-0.49761128510490593,1.2485133056640625,0.567,1.2307691040039062,0.558
0,-7.212319461750508,0.16984559288752443,1.1602752075195313,0.6,1.1536217041015624,0.594
0,-7.212319461750508,0.8373024708799548,1.0914510498046874,0.628,1.1002337036132812,0.618
0,-7.212319461750508,1.504759348872387,1.0461678466796875,0.643,1.0681090698242188,0.643
0,-7.212319461750508,2.1722162268648173,1.0267479248046876,0.658,1.0574127197265626,0.651
0,-7.212319461750508,2.8396731048572477,1.0373743896484375,0.653,1.0735504150390625,0.65
0,-7.212319461750508,3.50712998284968,1.07524072265625,0.647,1.1140732421875,0.634
