problem,method,seed,probe,policy,coords,vector,r2_frac_conv1,l2_frac_conv1,r2_frac_stage 1,l2_frac_stage 1,r2_frac_stage 2,l2_frac_stage 2,r2_frac_stage 3,l2_frac_stage 3,r2_frac_fc,l2_frac_fc
gaussian_s1_train_saved_ord,gaussian_postrelu,1,train_probe,saved,ordinary,top2,0.0035337368720534577,0.00483616433442441,0.109509178587652,0.11261403605767904,0.3289206105260821,0.3359235849444316,0.556971453940994,0.5447574304632932,0.0010650200732183674,0.0018687842001718108
gaussian_s1_train_saved_ord,gaussian_postrelu,1,train_probe,saved,ordinary,min,0.003763198792495505,0.0051665520204762045,0.05767634736019399,0.06129685799009311,0.2638132762803896,0.2692415508750715,0.673518832645628,0.6620944651301591,0.0012283449212929145,0.0022005739842000803
gaussian_s1_train_saved_rel,gaussian_postrelu,1,train_probe,saved,relative,top1,0.018742260978131326,0.04293900711213038,0.14691940131223563,0.1519819620405578,0.35042465296014985,0.34705420236151224,0.4809915727321788,0.4532427791894995,0.002922112017304357,0.004782049296300043
gaussian_s1_train_saved_rel,gaussian_postrelu,1,train_probe,saved,relative,top2,0.00957994175557102,0.01935912885595344,0.1209460090126026,0.12499120239996529,0.3413652734559328,0.3448265562537274,0.5247715344519298,0.5047576596615796,0.0033372413239637307,0.006065452828774298
gaussian_s1_train_saved_rel,gaussian_postrelu,1,train_probe,saved,relative,min,0.00624769161608514,0.009979150861472384,0.0652548990537829,0.07069388570546245,0.27734994399604807,0.2822471318209863,0.647150604163216,0.629831849913652,0.003996861170867952,0.007247981698426818
gaussian_s2_test_centre_frozen_ord,gaussian_postrelu,2,test_probe,centre_frozen,ordinary,top1,0.0028517183799715005,0.0041743699376489436,0.0736402438827009,0.07914330756469187,0.2525250350341948,0.25328548961471337,0.6696870865180354,0.661256487806898,0.0012959161850972652,0.002140345076047682
gaussian_s2_test_centre_frozen_ord,gaussian_postrelu,2,test_probe,centre_frozen,ordinary,top2,0.002864587869094493,0.005191860879751921,0.09617254972161952,0.10303382628667532,0.3335412522475672,0.33191771725693986,0.566009227952692,0.5574028940634081,0.001412382209026678,0.002453701513224712
gaussian_s2_test_centre_frozen_ord,gaussian_postrelu,2,test_probe,centre_frozen,ordinary,min,0.003708539850953309,0.005698136866329209,0.04078629612017954,0.044619062865531404,0.24153264397083493,0.2438403622773915,0.7130542827269195,0.704229398828684,0.0009182373311126798,0.0016130391620638636
gaussian_s2_test_centre_frozen_rel,gaussian_postrelu,2,test_probe,centre_frozen,relative,top1,0.006939781836925172,0.01138598216504517,0.0870281308337548,0.09482805322467897,0.25231259358254726,0.25149422245478276,0.6501220949649783,0.636104805086233,0.003597398781794393,0.00618693706926008
gaussian_s2_test_centre_frozen_rel,gaussian_postrelu,2,test_probe,centre_frozen,relative,top2,0.012551503464737108,0.025826572092967143,0.11037720158864966,0.11731067981018864,0.30912901582837427,0.30239731299049966,0.563728187620755,0.5470505102956329,0.004214091497483956,0.007414924810711619
gaussian_s2_test_centre_frozen_rel,gaussian_postrelu,2,test_probe,centre_frozen,relative,min,0.0073171177435784225,0.012286342052980181,0.04846470596536665,0.05345068208304872,0.2456723028788563,0.2470652634177779,0.6956515226143762,0.6819453753209116,0.0028943507978224266,0.0052523371252816255
gaussian_s2_test_saved_ord,gaussian_postrelu,2,test_probe,saved,ordinary,top1,0.0028733608055149925,0.004182522660278223,0.0701972636411847,0.07567779524165746,0.2564649157924568,0.2574002566660288,0.6692269698240433,0.6606765561401096,0.0012374899368003858,0.0020628692919259124
gaussian_s2_test_saved_ord,gaussian_postrelu,2,test_probe,saved,ordinary,top2,0.002411120250183654,0.0037171872404127516,0.09174993184412816,0.09902043924258823,0.3616734441273465,0.3641147263889949,0.5425150122355712,0.5304876837466057,0.001650491542770594,0.002659963381398299
gaussian_s2_test_saved_ord,gaussian_postrelu,2,test_probe,saved,ordinary,min,0.005298848007115189,0.008569954746776276,0.047983182614998045,0.05279316473700756,0.2552417857665625,0.25739399658599593,0.6904505841337034,0.679422947320498,0.0010255994776208201,0.0018199366097223701
gaussian_s2_test_saved_rel,gaussian_postrelu,2,test_probe,saved,relative,top1,0.006929139938574402,0.011337112693959456,0.08399102761119066,0.0917922889495255,0.2569552224698649,0.25629300997666615,0.6486292414381393,0.6345067209677477,0.0034953685422306753,0.006070867412101205
