method,u1,u2,t1,t2,T1,T2,train_probe_ce,test_probe_ce,train_probe_ce_centred,test_probe_ce_centred
resolution_max_b1,0.55,-0.9,0.0006731339763720148,-0.0013180532231343966,0.0012238799570400269,0.0014645035812604406,1.7127221069335938,1.9909605712890626,1.3946197052001954,1.4305476684570313
resolution_max_b1,0.55,-0.85,0.0006731339763720148,-0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,1.5916464233398437,1.8681917724609376,1.2735440216064453,1.3077788696289063
resolution_max_b1,0.55,-0.8,0.0006731339763720148,-0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.4787330932617186,1.75375146484375,1.1606306915283202,1.1933385620117187
resolution_max_b1,0.55,-0.75,0.0006731339763720148,-0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.37405615234375,1.6475275268554688,1.0559537506103516,1.0871146240234375
resolution_max_b1,0.55,-0.7,0.0006731339763720148,-0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.2775446166992188,1.5493644409179688,0.9594422149658204,0.9889515380859375
resolution_max_b1,0.55,-0.65,0.0006731339763720148,-0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.189486328125,1.459241455078125,0.8713839263916017,0.8988285522460937
resolution_max_b1,0.55,-0.6,0.0006731339763720148,-0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.1098265991210938,1.3771454467773439,0.7917241973876954,0.8167325439453126
resolution_max_b1,0.55,-0.55,0.0006731339763720148,-0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,1.038344970703125,1.3030795288085937,0.7202425689697265,0.7426666259765624
resolution_max_b1,0.55,-0.5,0.0006731339763720148,-0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,0.9746992492675781,1.2372044677734375,0.6565968475341797,0.6767915649414062
resolution_max_b1,0.55,-0.45,0.0006731339763720148,-0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,0.918867919921875,1.1792946166992186,0.6007655181884766,0.6188817138671874
resolution_max_b1,0.55,-0.4,0.0006731339763720148,-0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,0.8705940246582031,1.129437255859375,0.5524916229248047,0.5690243530273438
resolution_max_b1,0.55,-0.35,0.0006731339763720148,-0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,0.8297565002441406,1.08777685546875,0.5116540985107422,0.5273639526367186
resolution_max_b1,0.55,-0.3,0.0006731339763720148,-0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,0.7960885925292969,1.054244384765625,0.47798619079589844,0.49383148193359383
resolution_max_b1,0.55,-0.25,0.0006731339763720148,-0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,0.7695154418945312,1.029067596435547,0.4514130401611328,0.46865469360351564
resolution_max_b1,0.55,-0.2,0.0006731339763720148,-0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,0.7501587219238282,1.0124447021484375,0.4320563201904297,0.45203179931640625
resolution_max_b1,0.55,-0.15,0.0006731339763720148,-0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,0.7379237060546875,1.004237548828125,0.41982130432128906,0.4438246459960937
resolution_max_b1,0.55,-0.1,0.0006731339763720148,-0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,0.7327511596679688,1.0045234375,0.41464875793457034,0.4441105346679688
resolution_max_b1,0.55,-0.05,0.0006731339763720148,-7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,0.734752197265625,1.0132839050292968,0.4166497955322266,0.4528710021972655
resolution_max_b1,0.55,0.0,0.0006731339763720148,0.0,0.0012238799570400269,0.0014645035812604406,0.7442118835449218,1.0303049926757812,0.4261094818115234,0.46989208984374997
resolution_max_b1,0.55,0.05,0.0006731339763720148,7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,0.7610904541015625,1.0553958740234375,0.4429880523681641,0.4949829711914062
resolution_max_b1,0.55,0.1,0.0006731339763720148,0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,0.7855228271484375,1.08839306640625,0.46742042541503903,0.5279801635742187
resolution_max_b1,0.55,0.15,0.0006731339763720148,0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,0.8178237609863281,1.1291724853515626,0.4997213592529297,0.5687595825195313
resolution_max_b1,0.55,0.2,0.0006731339763720148,0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,0.8580061340332031,1.1774006958007812,0.5399037322998047,0.61698779296875
resolution_max_b1,0.55,0.25,0.0006731339763720148,0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,0.9062363586425781,1.2332349243164062,0.5881339569091797,0.672822021484375
resolution_max_b1,0.55,0.3,0.0006731339763720148,0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,0.9624505615234376,1.2964215698242187,0.6443481597900391,0.7360086669921875
resolution_max_b1,0.55,0.35,0.0006731339763720148,0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,1.026691650390625,1.366829833984375,0.7085892486572265,0.8064169311523437
resolution_max_b1,0.55,0.4,0.0006731339763720148,0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,1.0989827270507813,1.4442890014648437,0.7808803253173828,0.8838760986328125
resolution_max_b1,0.55,0.45,0.0006731339763720148,0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,1.1789453735351563,1.5285819091796875,0.8608429718017578,0.9681690063476562
resolution_max_b1,0.55,0.5,0.0006731339763720148,0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,1.2662015380859375,1.6195411376953126,0.9480991363525391,1.0591282348632813
resolution_max_b1,0.55,0.55,0.0006731339763720148,0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,1.3606182861328124,1.7168225708007812,1.042515884399414,1.1564096679687499
resolution_max_b1,0.55,0.6,0.0006731339763720148,0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.4619673461914062,1.8201016235351561,1.1438649444580078,1.2596887207031249
resolution_max_b1,0.55,0.65,0.0006731339763720148,0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.5697586059570312,1.9290555419921875,1.2516562042236328,1.3686426391601563
resolution_max_b1,0.55,0.7,0.0006731339763720148,0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.6836181640625,2.043479309082031,1.3655157623291017,1.4830664062499999
resolution_max_b1,0.55,0.75,0.0006731339763720148,0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.8034822387695313,2.163510009765625,1.4853798370361329,1.6030971069335935
resolution_max_b1,0.55,0.8,0.0006731339763720148,0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.9289413452148438,2.2887232666015627,1.6108389434814454,1.7283103637695314
resolution_max_b1,0.55,0.85,0.0006731339763720148,0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,2.05968115234375,2.4187900390625,1.7415787506103515,1.8583771362304686
