objective,draw,trace_ordinary_cv,trace_relative_cv,trace_covariance_cv
combined_s1_test_centre_frozen,48,6350.256590582469,10269.069157270209,41.52641872994634
combined_s1_test_centre_frozen,49,9393.43415977417,15213.791258208625,58.76730670152733
combined_s1_test_centre_frozen,50,5631.533907118839,9361.19317938207,53.4417403346577
combined_s1_test_centre_frozen,51,11370.522130209885,18536.573367081935,99.79533782584173
combined_s1_test_centre_frozen,52,8320.020358972528,13647.832814655028,56.386784996827664
combined_s1_test_centre_frozen,53,14800.499675558352,23730.244785211664,95.5637679629478
combined_s1_test_centre_frozen,54,17065.7524774618,28175.522799782222,124.35421296844872
combined_s1_test_centre_frozen,55,13854.090958313978,22670.351426493602,116.62043020244147
combined_s1_test_centre_frozen,56,10336.172477008105,16704.537406505944,59.58000108293697
combined_s1_test_centre_frozen,57,9517.492031489686,15503.381729542052,56.62949190084787
combined_s1_test_centre_frozen,58,11664.708795426302,19047.087240471417,69.7269696318863
combined_s1_test_centre_frozen,59,12238.639233119738,20013.816369360437,82.61169705854748
combined_s1_test_centre_frozen,60,9452.061476839897,15350.468028325346,69.49874341085145
combined_s1_test_centre_frozen,61,7671.8835506015475,12694.574221210027,67.50748228249559
combined_s1_test_centre_frozen,62,7300.334432854798,11928.353762794608,51.36267599451042
combined_s1_test_centre_frozen,63,10542.587693431333,16814.699852600985,67.29333219586597
combined_s1_test_centre_frozen,64,6899.283525838753,11314.143708350955,59.40807360064287
combined_s1_test_centre_frozen,65,8224.78506464055,13508.086901743154,68.1001689428309
combined_s1_test_centre_frozen,66,8533.153275976221,14167.845783855037,77.63298370993972
combined_s1_test_centre_frozen,67,6218.758234870531,10107.514507957369,56.131442766551345
combined_s1_test_centre_frozen,68,10444.057530203529,17367.493069597294,108.89759089408713
combined_s1_test_centre_frozen,69,10112.47488618799,15882.216830376045,60.97522105095202
combined_s1_test_centre_frozen,70,7365.370393835142,12211.012579165654,54.01897168293613
combined_s1_test_centre_frozen,71,12657.868942742954,20192.06262505921,85.76029432089753
combined_s1_test_centre_frozen,72,9511.954579207824,15774.51131248558,75.45598388875555
combined_s1_test_centre_frozen,73,9083.793923103554,15313.948338981325,81.79318813699945
combined_s1_test_centre_frozen,74,7474.282477364225,12124.166003666514,55.88999320725074
combined_s1_test_centre_frozen,75,9092.547421172947,14536.403525959737,64.78607996349758
combined_s1_test_centre_frozen,76,13015.718860618921,21174.731981210003,88.42462876982934
combined_s1_test_centre_frozen,77,9262.552265502854,14959.860756617607,70.42312259993521
combined_s1_test_centre_frozen,78,8333.314210985638,13439.729368954611,58.20008585519918
