method,seed,vector,t,test_probe_ce_centre_frozen,test_probe_ce_pointwise,train_probe_ce_centre_frozen,train_probe_ce_pointwise,train_probe_rise_centre_frozen,train_probe_rise_pointwise,test_probe_rise_centre_frozen,test_probe_rise_pointwise
gaussian_postrelu,1,top1,0.005,16.78944140625,0.6976188049316406,16.6903896484375,0.4241150665283203,16.399355331420896,0.13308074951171883,16.220399322509763,0.12857672119140628
gaussian_postrelu,1,top1,0.01,39.935701171875,1.0660836791992188,40.070052734375,0.8364968566894532,39.779018417358394,0.5454625396728516,39.36665908813477,0.4970415954589844
gaussian_postrelu,1,top1,0.02,124.4671015625,1.9975870361328123,125.06845703125,1.907170654296875,124.77742271423341,1.6161363372802735,123.89805947875978,1.428544952392578
gaussian_postrelu,1,top1,0.05,1356.6331875,3.784399658203125,1360.920625,3.953383911132813,1360.6295906829835,3.662349594116211,1356.0641454162599,3.2153575744628906
gaussian_postrelu,1,top1,0.1,31338.294,5.926064453125,31270.238,5.645790283203125,31269.946965682986,5.354755966186524,31337.72495791626,5.357022369384765
gaussian_postrelu,1,top1,0.2,5701123.84,7.960791748046875,5655699.712,6.694853515625,5655699.420965684,6.4038191986083985,5701123.270957916,7.391749664306641
gaussian_postrelu,1,top1,0.35,2408995356.672,8.629123046875,2392302026.752,6.65812109375,2392302026.4609656,6.367086776733399,2408995356.1029577,8.060080963134766
gaussian_postrelu,1,top1,0.5,276701548380.16,9.22151611328125,275426312192.0,6.890026611328125,275426312191.709,6.598992294311524,276701548379.59094,8.652474029541017
gaussian_postrelu,2,min,-0.5,79959588.864,5.230584716796875,79632265.216,5.1960341796875,79632264.96416722,4.944201400756835,79959588.2659064,4.632491119384765
gaussian_postrelu,2,min,-0.35,2450481.536,5.4862998046875,2438813.824,5.577853271484375,2438813.572167221,5.3260204925537105,2450480.9379064026,4.88820620727539
gaussian_postrelu,2,min,-0.2,40100.022,5.860445556640625,40109.104,5.9110859375,40108.85216722107,5.659253158569336,40099.42390640258,5.262351959228515
