method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
plain,2,train_probe,0.35,9.480815563964844,1.842307456970215,9.590650268554686,0.1943195123394815,1.0115849426506414,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,2,train_probe,0.5,20.25351395874024,3.0281396270751952,20.492511968994144,0.14951181475194955,1.0118003231805002,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.005,0.0013194274902343,0.0002791305541992,0.0014765487670898,0.21155429628772765,1.1190829189314517,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.01,0.0054961013793945,0.0011302879333496,0.0057699897766113,0.20565267183519872,1.049833214184083,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.02,0.0221943382263183,0.0047253524780273,0.022696866607666,0.21290801419002994,1.022642188121284,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.025,0.0349656944274902,0.0074404251098633,0.0356144111633301,0.21279214474898578,1.01855294872479,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.05,0.1430329032897949,0.0294752220153808,0.1458928405761718,0.20607301772838862,1.0199949607439798,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.1,0.6111615249633792,0.1134665473937988,0.6235915771484375,0.18565721623362616,1.0203384075687734,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.2,2.864912405395508,0.4485762428283691,2.9248531082153315,0.1565759015820388,1.020922350961564,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.25,4.614643017578125,0.7036232070922851,4.70780966796875,0.15247619467248918,1.0201893516000553,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.35,9.136837872314452,1.3427212371826172,9.319384014892576,0.14695688551628996,1.0199791377639804,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,test_probe,0.5,20.789888256835937,2.3323985260009765,21.23300802612305,0.11218908428880367,1.0213141967774362,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.005,0.001563123512268,0.0005946659088134,0.0014917013168334,0.3804343701225343,0.9543080282050326,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.01,0.0061365238189697,0.0023137289047241,0.006063703918457,0.3770422755586349,0.9881333630144816,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.02,0.0245082971572876,0.0088646741867065,0.0247212724685668,0.3617009427385112,1.008689926921988,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.025,0.0385782096862793,0.0136724977493286,0.0390245849609374,0.3544098562508294,1.0115706581069484,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.05,0.1619920232772827,0.0517037137985229,0.1640108406066894,0.3191744429910684,1.0124624490055976,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.1,0.715334954071045,0.1892354930877685,0.7263895709991456,0.26454109646230733,1.0154537631150102,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.2,3.204970008850098,0.6781453186035156,3.268336853027344,0.2115917829904516,1.0197714312465536,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.25,5.02306316986084,1.008414771270752,5.121758851623536,0.20075693599104977,1.0196485049909159,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.35,9.625463398742676,1.7707469268798828,9.814017962646483,0.18396484964154414,1.0195891414358749,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,3,train_probe,0.5,21.437453730773925,2.849145295715332,21.88665871582031,0.13290502367943646,1.0209542136247993,0.0,0.0,0.0,0.0,0.0,0.0,False
