problem,method,seed,probe,policy,coords,vector,radial_fraction_ordinary_metric,radial_fraction_r_metric,radial_fraction_bn_followed_r_metric,fc_share_r_metric,random_direction_expected_radial_fraction_r_metric,random_direction_expected_radial_fraction_ordinary_metric
resolution_s3_train_centre_frozen_ord,resolution_max_b1,3,train_probe,centre_frozen,ordinary,top2,0.008157683910620377,0.008071874653485224,0.007874446995289226,0.002744305774602353,0.004256539849304894,0.0046382815357091005
resolution_s3_train_centre_frozen_ord,resolution_max_b1,3,train_probe,centre_frozen,ordinary,min,0.005067823562751776,0.005025091910811661,0.004934024184036871,0.0013936655164686596,0.004256539849304894,0.0046382815357091005
resolution_s3_train_centre_frozen_rel,resolution_max_b1,3,train_probe,centre_frozen,relative,top1,0.00828973698821131,0.008038714081896424,0.007867298882206273,0.0032733712922050594,0.004256539849304894,0.0046382815357091005
resolution_s3_train_centre_frozen_rel,resolution_max_b1,3,train_probe,centre_frozen,relative,top2,0.008694514297732875,0.008506005067358614,0.008125709148728563,0.005684639980796003,0.004256539849304894,0.0046382815357091005
resolution_s3_train_centre_frozen_rel,resolution_max_b1,3,train_probe,centre_frozen,relative,min,0.0053734900804135325,0.005183940299689104,0.004895659347012182,0.004765216752155283,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_ord,resolution_max_b1,3,test_probe,saved,ordinary,top1,0.006683101518605198,0.0065962038200082646,0.006547917812290602,0.0010690779241681984,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_ord,resolution_max_b1,3,test_probe,saved,ordinary,top2,0.0064631204578665,0.006481258946495738,0.006430389434313621,0.0011082567048062934,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_ord,resolution_max_b1,3,test_probe,saved,ordinary,min,0.0043385252817954405,0.004318159679226049,0.004262928393069731,0.0009319523477585553,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_rel,resolution_max_b1,3,test_probe,saved,relative,top1,0.007138097506079036,0.006910932547591581,0.006765137842921014,0.003286254108020327,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_rel,resolution_max_b1,3,test_probe,saved,relative,top2,0.006553903636710605,0.006389822462436743,0.006197427598508621,0.004221582519895348,0.004256539849304894,0.0046382815357091005
resolution_s3_test_saved_rel,resolution_max_b1,3,test_probe,saved,relative,min,0.0045211438146748354,0.004405363503818157,0.004245915229342878,0.0030682316841737925,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_ord,resolution_max_b1,3,test_probe,centre_frozen,ordinary,top1,0.006644715748906282,0.0065595827944324465,0.006509014582344003,0.0011065520164694749,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_ord,resolution_max_b1,3,test_probe,centre_frozen,ordinary,top2,0.006539576843850981,0.006553762069892499,0.006501472790128145,0.0011054998515894377,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_ord,resolution_max_b1,3,test_probe,centre_frozen,ordinary,min,0.005009942894062126,0.0049791684812828104,0.004951645636064081,0.000992727133741552,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_rel,resolution_max_b1,3,test_probe,centre_frozen,relative,top1,0.007091585606991139,0.006867597017263092,0.006716389497338341,0.0033741220645469513,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_rel,resolution_max_b1,3,test_probe,centre_frozen,relative,top2,0.006676260545710253,0.006507025669573803,0.0063115804226332025,0.004202548656076284,0.004256539849304894,0.0046382815357091005
resolution_s3_test_centre_frozen_rel,resolution_max_b1,3,test_probe,centre_frozen,relative,min,0.005513438973300168,0.005429644262300355,0.005355255549468594,0.0029928519567608276,0.004256539849304894,0.0046382815357091005
resolution_s4_train_saved_ord,resolution_max_b1,4,train_probe,saved,ordinary,top1,0.005785572928494658,0.005742235387544671,0.005688534600542532,0.000978167053487038,0.004256539849304894,0.004568874352030301
resolution_s4_train_saved_ord,resolution_max_b1,4,train_probe,saved,ordinary,top2,0.007989256260237594,0.008013333323532483,0.007958136032861732,0.0011009988599592496,0.004256539849304894,0.004568874352030301
resolution_s4_train_saved_ord,resolution_max_b1,4,train_probe,saved,ordinary,min,0.004449115821115695,0.004382022498898847,0.004352331661193153,0.0010874702699233175,0.004256539849304894,0.004568874352030301
resolution_s4_train_saved_rel,resolution_max_b1,4,train_probe,saved,relative,top1,0.006003935552707644,0.005879090304885934,0.00572232941208442,0.0028993499318587146,0.004256539849304894,0.004568874352030301
resolution_s4_train_saved_rel,resolution_max_b1,4,train_probe,saved,relative,top2,0.008826898499187384,0.00869806629979781,0.00852954114908535,0.0033666292987980986,0.004256539849304894,0.004568874352030301
resolution_s4_train_saved_rel,resolution_max_b1,4,train_probe,saved,relative,min,0.00466281615918169,0.004528874036648532,0.004431011429681797,0.003269863703242991,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_ord,resolution_max_b1,4,train_probe,centre_frozen,ordinary,top1,0.005837978812183856,0.005793499916311664,0.005742641472454176,0.0009912336714881002,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_ord,resolution_max_b1,4,train_probe,centre_frozen,ordinary,top2,0.007575973134476973,0.007635843482364988,0.007581885416892389,0.0011013571772562,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_ord,resolution_max_b1,4,train_probe,centre_frozen,ordinary,min,0.004507871368945914,0.00444867086947411,0.004396046673835289,0.0010811225288153855,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_rel,resolution_max_b1,4,train_probe,centre_frozen,relative,top1,0.006045654992488871,0.005928013740633362,0.005782438926178405,0.0028640166430619674,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_rel,resolution_max_b1,4,train_probe,centre_frozen,relative,top2,0.007928361252265056,0.007870638608930398,0.007692071897139426,0.0036818994255560875,0.004256539849304894,0.004568874352030301
resolution_s4_train_centre_frozen_rel,resolution_max_b1,4,train_probe,centre_frozen,relative,min,0.004778326307429841,0.004629635279871048,0.004463268725745561,0.003494975654231164,0.004256539849304894,0.004568874352030301
