campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,sdpoint,1,40,15640,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.85828,0.4064048419189453,0.8308,0.4982551971435547,P1
adamw_long_aug_160,sdpoint,1,80,31280,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.89562,0.29411385437011717,0.861,0.43091266021728514,P1
adamw_long_aug_160,sdpoint,1,120,46920,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.92192,0.21933881118774415,0.8762,0.4010070114135742,P1
adamw_long_aug_160,sdpoint,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.92708,0.2053828163909912,0.8771,0.4061321701049805,P1
adamw_long_aug_160,sdpoint,2,40,15640,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.85824,0.41177705780029294,0.8316,0.5028354110717773,P1
adamw_long_aug_160,sdpoint,2,80,31280,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.90572,0.27167569595336916,0.8707,0.41159181365966796,P1
adamw_long_aug_160,sdpoint,2,120,46920,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.92144,0.225359560546875,0.8766,0.4142690307617187,P1
adamw_long_aug_160,sdpoint,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.93044,0.1985095443725586,0.8819,0.40418531036376953,P1
adamw_long_noaug_160,cbs_budget_matched,0,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.97174,0.08303854408264161,0.8036,0.7949882415771484,P1
adamw_long_noaug_160,cbs_budget_matched,0,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99772,0.007638590867519379,0.8195,1.0989478393554688,P1
adamw_long_noaug_160,cbs_budget_matched,0,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.99998,0.00019835106685757637,0.828,1.3138359497070313,P1
adamw_long_noaug_160,cbs_budget_matched,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,1.0,5.577709744684398e-06,0.8341,1.3120603332519531,P1
adamw_long_noaug_160,cbs_budget_matched,1,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.97296,0.08144030368804932,0.81,0.7616491943359375,P1
adamw_long_noaug_160,cbs_budget_matched,1,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99762,0.008299386534690856,0.8236,1.0923700927734374,P1
adamw_long_noaug_160,cbs_budget_matched,1,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,1.0,9.730975547805429e-05,0.8354,1.2496191650390625,P1
adamw_long_noaug_160,cbs_budget_matched,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,1.0,5.235757115297019e-06,0.8403,1.2994742706298827,P1
